google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Paul Hessburg,http://scholar.google.com/citations?user=KOu-LaMAAAAJ&hl=en,m,,1984,,,,,,,,,,,,23,
Paul Hirsch,http://scholar.google.com/citations?user=qGpvILYAAAAJ&hl=en,m,assistant,2008,,,,530,,,,,,,,,
Paul Julian II,http://scholar.google.com/citations?user=lcDejAEAAAAJ&hl=en,m,,-999,1727,,,,,,,,,,,188,
Paul Opdam,http://scholar.google.com/citations?user=kXVhEGEAAAAJ&hl=en,m,full,-999,,,,,,,,,,,,15,
Paul Rodewald,http://scholar.google.com/citations?user=PWLwpH0AAAAJ&hl=en,m,associate,2001,829,,,,,,,,,,,,
paul severns,http://scholar.google.com/citations?user=-usuxP0AAAAJ&hl=en,m,postdoc,-999,942,,,,,,,,,165,,,
Paul Thompson,http://scholar.google.com/citations?user=6YQPiSwAAAAJ&hl=en,m,full,1987,167,,,51,,,,,,,,,
Paul Thuesen,http://scholar.google.com/citations?user=RSr_6ikAAAAJ&hl=en,m,student,0,1563,,,671,,,,,,,,,
Paula Aguiar,http://scholar.google.com/citations?user=aCoFtg4AAAAJ&hl=en,f,,2006,1316,,,549,,,,,,,,,
Paula Arribas,http://scholar.google.com/citations?user=3YGltkYAAAAJ&hl=en,f,student,0,1482,,,650,,,,,,,,,
Paula Matos,http://scholar.google.com/citations?user=SYU9K5UAAAAJ&hl=en,f,student,0,1553,,,,,,,,,,,,
Pauline Ross,http://scholar.google.com/citations?user=sMGojH8AAAAJ&hl=en,f,associate,-999,865,,,,,,,,,,,,
Paulo A. Hartmann,http://scholar.google.com/citations?user=0qyvdlYAAAAJ&hl=en,m,,-999,,,,381,,,,,,,,,
Paulo Inacio de Knegt Lopez de Prado,http://scholar.google.com/citations?user=Q8PN0rAAAAAJ&hl=en,m,,-999,,,56,,,,,,,,24,,
Paulo M. Brando,http://scholar.google.com/citations?user=7eE9Q0kAAAAJ&hl=en,m,,-999,,,,,,,,39,,,,,
Paulo M. Fernandes,,,,2003,,,,,,,,,,,,,
Paulo R. Guimaraes Jr,http://scholar.google.com/citations?user=IZ-vsG8AAAAJ&hl=en,m,assistant,2006,449,,,,,,,,,,,,
Paulo Silveira,http://scholar.google.com/citations?user=cOTvRCEAAAAJ&hl=en,m,assistant,2001,,,,456,,,,,,,,,
Pavel Krestov,http://scholar.google.com/citations?user=wLLIADIAAAAJ&hl=en,,,-999,761,,,,,,,,,,,,
PDCarey,http://scholar.google.com/citations?user=iDwZ_HwAAAAJ&hl=en,,,-999,492,,,169,,,,,,,,,
Pedro Abellan,http://scholar.google.com/citations?user=H_I9u74AAAAJ&hl=en,m,postdoc,-999,,,,285,,,,,,,,,
Pedro Aragon,http://scholar.google.com/citations?user=JjwD9SEAAAAJ&hl=en,m,,2001,722,49,,,,,41,,,,,,
Pedro Beja,http://scholar.google.com/citations?user=6xecf34AAAAJ&hl=en,m,,-999,503,,,184,,,,,,,,,
Pedro Cardoso,http://scholar.google.com/citations?user=WyB_hggAAAAJ&hl=en,m,postdoc,2005,688,,,270,,,,,,,,,
Pedro Echeveste,http://scholar.google.com/citations?user=vJtL0UMAAAAJ&hl=en,m,,-999,1495,,,,,,,,,,,,
Pedro Geraldes,http://scholar.google.com/citations?user=ZVpI2bAAAAAJ&hl=en,m,,-999,,,,512,,,,,,,,,
Pedro Jordano,http://scholar.google.com/citations?user=TrKYqaEAAAAJ&hl=en,m,,1984,72,,,,,,,,,11,,,
Pedro M. Antunes,http://scholar.google.com/citations?user=x6pAv9wAAAAJ&hl=en,m,associate,2005,878,,103,,,,,,,,,,
Pedro P. Olea,http://scholar.google.com/citations?user=xb7gbnkAAAAJ&hl=en,m,,-999,997,,,377,,,,,,,,,
Pedro Pinho,http://scholar.google.com/citations?user=VXJYA8UAAAAJ&hl=en,m,postdoc,2010,1054,,,,,,,,,,,,
Pedro Segurado,http://scholar.google.com/citations?user=-mngHGEAAAAJ&hl=en,m,postdoc,-999,542,,,,,,,,,,,,
Pejman Hamedi Asl,http://scholar.google.com/citations?user=casYrysAAAAJ&hl=en,,,-999,,,,749,,,,,,,,,
peltzer d,http://scholar.google.com/citations?user=aiHqxecAAAAJ&hl=en,,,2000,506,,,,,,,,,,,,
Pep (jm) Serra-Diaz,http://scholar.google.com/citations?user=4OVXy7cAAAAJ&hl=en,m,,-999,1474,,,623,,,,,,,,,
Peroth Balakrishnan,http://scholar.google.com/citations?user=JU0PzN8AAAAJ&hl=en,m,assistant,2008,,,,672,,,108,,,254,,,
Pete Cotton,http://scholar.google.com/citations?user=SY1TEH8AAAAJ&hl=en,m,senior lecturer,1993,487,,,,,,,,,,,,
Peter Adamik,http://scholar.google.com/citations?user=s4MqML0AAAAJ&hl=en,m,,-999,1148,,,,,,,,,,,,
Peter Adler,http://scholar.google.com/citations?user=SA6Fm3oAAAAJ&hl=en,m,associate,2003,364,,,,,,,,,,,,
Peter Batary,http://scholar.google.com/citations?user=T2whZaAAAAAJ&hl=en,m,postdoc,2004,618,,,,,,,,,,,,
Peter Bennett,http://scholar.google.com/citations?user=f5Kbyr8AAAAJ&hl=en,m,reader,-999,184,,,,,,,,,,,,
Peter C Schulze,http://scholar.google.com/citations?user=JfQk4_UAAAAJ&hl=en,m,full,1989,824,,,,,,,,,,,,
Peter C. de Ruiter,http://scholar.google.com/citations?user=zx76a1gAAAAJ&hl=en,m,,-999,126,,,,,,,,,,,,
Peter Christiaan le Roux,http://scholar.google.com/citations?user=dIgLLmoAAAAJ&hl=en,m,,-999,948,,,,,,,,,,,,
"Peter Coppolillo, Ph.D.",http://scholar.google.com/citations?user=jQWLKX8AAAAJ&hl=en,m,,2000,546,,,,,,,,,,,,
Peter D Wilson,http://scholar.google.com/citations?user=xTUJhEgAAAAJ&hl=en,m,,-999,846,,,,,,,,,,,,
Peter Henderson,http://scholar.google.com/citations?user=BDxQ5soAAAAJ&hl=en,m,,-999,73,,,,,,,,,,,,
Peter Hudson,http://scholar.google.com/citations?user=SRC_kJQAAAAJ&hl=en,m,,-999,67,,,,,,,,,,,,
Peter J. Fashing,http://scholar.google.com/citations?user=6WP9IDYAAAAJ&hl=en,m,associate,1999,,,,261,,70,,,,,,,
Peter J. Morin,http://scholar.google.com/citations?user=vPRQiwIAAAAJ&hl=en,m,full,1982,110,,,,,,,,,,,,
Peter Korsten,http://scholar.google.com/citations?user=sVTxhL0AAAAJ&hl=en,m,postdoc,2006,,,,,,,52,,,151,,,
Peter Kourtev,http://scholar.google.com/citations?user=iwcG_4UAAAAJ&hl=en,m,assistant,2001,501,,,,,,,,,,,,
Peter L. Hurd,http://scholar.google.com/citations?user=EHFXvrIAAAAJ&hl=en,m,associate,1997,,,,,,51,,,,,,,
Peter Lindsey,http://scholar.google.com/citations?user=2jK1fL4AAAAJ&hl=en,m,,-999,697,,,264,,,,,,,,,
Peter Mackelworth,http://scholar.google.com/citations?user=HzxweY4AAAAJ&hl=en,m,,-999,,,,595,,,,,,,,,
Peter R Atsatt,http://scholar.google.com/citations?user=le3-lIMAAAAJ&hl=en,m,full,1966,442,,,,,,,,,,,,
Peter R Langlands,http://scholar.google.com/citations?user=cWEGNSUAAAAJ&hl=en,m,student,0,1441,,,,,,,,,,,,
Peter Roopnarine,http://scholar.google.com/citations?user=15aglAsAAAAJ&hl=en,m,,1994,725,,,,,,,,,,,,
Peter Solymos,http://scholar.google.com/citations?user=PfC17QsAAAAJ&hl=en,m,,2006,330,16,,128,,,,,,,,,
Peter Teglberg Madsen,http://scholar.google.com/citations?user=cs18AKIAAAAJ&hl=en,m,full,-999,,,,,,25,,,,,,,
Petina Pert,http://scholar.google.com/citations?user=IPodHyAAAAAJ&hl=en,f,,2006,1244,,,539,,,,,,,,140,
Petr Keil,http://scholar.google.com/citations?user=AG9C5LQAAAAJ&hl=en,m,postdoc,2010,,103,,,,,,,,,,,
Petr Kocarek,http://scholar.google.com/citations?user=WRCodbIAAAAJ&hl=en,m,assistant,-999,956,,,,,,,,,,,,
Petra Kaczensky,http://scholar.google.com/citations?user=N1km8gcAAAAJ&hl=en,f,,2000,,,,195,,,,,,,,,
PF Pelisson,http://scholar.google.com/citations?user=7NJJoCkAAAAJ&hl=en,,,-999,,,284,,,,,,,,,,
Phil Lester,http://scholar.google.com/citations?user=9yLUxZsAAAAJ&hl=en,m,associate,1998,528,,,,,,,,,,,,
Phil Stephens,http://scholar.google.com/citations?user=NFJ6KnMAAAAJ&hl=en,m,,2002,301,,,,,,,,,,,,
Philip Barton,http://scholar.google.com/citations?user=F6ZrAIQAAAAJ&hl=en,m,postdoc,-999,,,211,,,,,,,,,143,
Philip de Pous,,,student,0,1487,,,,,,,,,,,,
Philip E. Higuera,http://scholar.google.com/citations?user=Tmjced4AAAAJ&hl=en,m,assistant,2006,,,,,,,,,,,,,28
Philip Fay,http://scholar.google.com/citations?user=8HOknMEAAAAJ&hl=en,m,,1992,,,,,,,,21,,,,,
Philip K Roche,http://scholar.google.com/citations?user=H6i6i7QAAAAJ&hl=en,m,,-999,659,,,,,,,,,,,64,
Philip L Staddon,http://scholar.google.com/citations?user=5Kv85Z0AAAAJ&hl=en,m,,1998,502,,,,,,,,,,,,
Philip L. Shirk,http://scholar.google.com/citations?user=PF0UpKYAAAAJ&hl=en,m,student,0,,,314,767,,,,,,,,185,
Philip M. Novack-Gottshall,http://scholar.google.com/citations?user=TWeyEg4AAAAJ&hl=en,m,assistant,2004,,,,,,,,,,,,,40
Philip Riordan,http://scholar.google.com/citations?user=mleK4KIAAAAJ&hl=en,m,postdoc,1999,969,,,,,,,,,,,,
Philip Wheeler,http://scholar.google.com/citations?user=4kLzTV4AAAAJ&hl=en,m,assistant,-999,,,,499,,,,,,,,,
Philippe Desjardins-Proulx,http://scholar.google.com/citations?user=uq7PKUAAAAAJ&hl=en,m,student,0,,,,,,,,,,,80,,
Philippe LOUAPRE,http://scholar.google.com/citations?user=n9puNjcAAAAJ&hl=en,m,,-999,,,,,,,113,,,,,,
Philippine Vergeer,http://scholar.google.com/citations?user=9T8tej8AAAAJ&hl=en,f,postdoc,2005,,,,292,,,,,,,,,
Phillip Fenberg,http://scholar.google.com/citations?user=-CSvSUQAAAAJ&hl=en,m,postdoc,2008,,,,485,,,,,,,,,
Phillip Hollingsworth,http://scholar.google.com/citations?user=ZFB7gfYAAAAJ&hl=en,m,,-999,,,,,,,,,,241,,,
Phoebe L Zarnetske,http://scholar.google.com/citations?user=ImysMNEAAAAJ&hl=en,f,postdoc,2011,,,212,,,,,,,,,,
PI Ayantha Gomes,http://scholar.google.com/citations?user=GdjItf4AAAAJ&hl=en,,,2009,1442,,,,,,,,,,,,
Pia Lentini,http://scholar.google.com/citations?user=vCnj8hQAAAAJ&hl=en,f,postdoc,-999,,,,707,,,,,,,,169,
Pia Winberg,http://scholar.google.com/citations?user=xzqQepMAAAAJ&hl=en,f,,2008,1534,,,,,,,,,,,,
Pier Luigi Nimis,http://scholar.google.com/citations?user=pntBpSwAAAAJ&hl=en,m,,-999,265,,,,,,,,,,,,
Pierluigi Ballabeni,http://scholar.google.com/citations?user=27GbP4QAAAAJ&hl=en,m,,-999,,,,,,,,,,116,,,
Piero Visconti,http://scholar.google.com/citations?user=_m0KCQwAAAAJ&hl=en,m,postdoc,2011,,,,537,,,,,,,,,
Pierre Liancourt,http://scholar.google.com/citations?user=k45xDSEAAAAJ&hl=en,m,postdoc,2005,631,,64,,,,,,22,,,,
Pieter A. Zuidema,http://scholar.google.com/citations?user=vTjVeYkAAAAJ&hl=en,m,associate,2000,,,,174,,,,,16,,,,
Pieter Poot,http://scholar.google.com/citations?user=ZecJEGwAAAAJ&hl=en,m,assistant,-999,367,,,135,,,,,,,,,
Pietro Brandmayr,http://scholar.google.com/citations?user=mPabKT8AAAAJ&hl=en,m,full,-999,630,,,,,,,,,,,,
Pilar de la Rua,http://scholar.google.com/citations?user=zi3Cb8gAAAAJ&hl=en,f,assistant,1999,,,,283,,,,,,,,,
Piotr Matyjasiak,http://scholar.google.com/citations?user=vxdHx5gAAAAJ&hl=en,m,,-999,,,,,,136,,,,206,,,
Piotr Sakiewicz,http://scholar.google.com/citations?user=lO7ppn8AAAAJ&hl=en,m,assistant,-999,1344,,,,,,,,,,,,
Piotr Skorka,http://scholar.google.com/citations?user=TS0YEUQAAAAJ&hl=en,m,postdoc,-999,,,,362,,,,,,,,,
Pitamber Prasad Dhyani,http://scholar.google.com/citations?user=4Sdx4CEAAAAJ&hl=en,m,,-999,,,,406,,,,,,,,,
pizzolotto roberto,http://scholar.google.com/citations?user=IYEZHSoAAAAJ&hl=en,m,,-999,1046,,,,,,,,,,,,
PK Gillingham,http://scholar.google.com/citations?user=bdiCVUQAAAAJ&hl=en,f,,-999,,,,646,,,,,,,,,
Poitr Tryjanowski,http://scholar.google.com/citations?user=ACE29vIAAAAJ&hl=en,m,,-999,257,,,,,,,,,,,,
PR Jayachandran,http://scholar.google.com/citations?user=6kXknmMAAAAJ&hl=en,m,student,0,1707,,,,,,,,,,,,
Prabodh K Bajpai,http://scholar.google.com/citations?user=BXz642EAAAAJ&hl=en,m,,,,,,,,,,,104,,,,
Prasanth Meiyappan,http://scholar.google.com/citations?user=Yrshk8cAAAAJ&hl=en,m,student,0,,,,,,,,106,,,,,
Pratha Sah,http://scholar.google.com/citations?user=yjfGqM0AAAAJ&hl=en,,student,0,,,,,,,,,,,84,,
Preben Clausen,http://scholar.google.com/citations?user=9gPKUvAAAAAJ&hl=en,m,,1995,,,,276,,,,,,,,,
Predrag Ilic,http://scholar.google.com/citations?user=7Ho67CEAAAAJ&hl=en,,,-999,1468,,,,,,,,,,,,
Prof Jafari R Kideghesho,http://scholar.google.com/citations?user=6Rb86F0AAAAJ&hl=en,m,associate,-999,,,,418,,,,,,,,,
Prof Stephen E. Williams,http://scholar.google.com/citations?user=CLXk3CEAAAAJ&hl=en,m,full,1998,81,,,,,,,,,,,,
Prof. Dr. Hsin Chi,http://scholar.google.com/citations?user=scYRawoAAAAJ&hl=en,m,,-999,701,,,,,,,,,,,,
Prof. Stephen E. Williams,http://scholar.google.com/citations?user=CLXk3CEAAAAJ&hl=en,m,full,1998,,,,28,,,,,,,,,
Pulleman,http://scholar.google.com/citations?user=4KvWz1kAAAAJ&hl=en,f,,2002,644,,,,,,,,,,,,
Qiaozhen Mu,http://scholar.google.com/citations?user=qWNVcScAAAAJ&hl=en,f,,2001,666,,,,,,,,,,,,
Quinn McFrederick,http://scholar.google.com/citations?user=n0JfTlYAAAAJ&hl=en,m,postdoc,2010,1256,,,517,,,,,,,,,
R. Cotton Rockwood,http://scholar.google.com/citations?user=p3Spi_UAAAAJ&hl=en,m,student,0,,,,578,,,,,,,,,
R. Mark Brigham,http://scholar.google.com/citations?user=_AsL05oAAAAJ&hl=en,m,full,-999,,,,,6,,,,,,,,
R. Stephen (Steve) Howard,http://scholar.google.com/citations?user=R_TB78EAAAAJ&hl=en,m,full,1994,755,,,,,,,,,,,,
R. Travis Belote,http://scholar.google.com/citations?user=Dh5wdFEAAAAJ&hl=en,m,,2008,975,,,,,,,,,,,,
RA Evans,http://scholar.google.com/citations?user=YJ5VszoAAAAJ&hl=en,,,-999,598,,,,,,,,,,,,
Rachel E Gallery,http://scholar.google.com/citations?user=6mYd4w0AAAAJ&hl=en,f,assistant,2007,835,,,,,,,,,,,,
Rachel Vannette,http://scholar.google.com/citations?user=Sh3ZdAYAAAAJ&hl=en,f,postdoc,2011,1403,,,,,,,,,,,,
Rachel Winfree,http://scholar.google.com/citations?user=1O_lPNYAAAAJ&hl=en,f,assistant,2001,444,,,164,,,,,,,,,
Radovan Vaclav,http://scholar.google.com/citations?user=nIYpjooAAAAJ&hl=en,,,2001,,,,,,,,,,191,,,
Raeymaekers Joost,http://scholar.google.com/citations?user=EZdjfbYAAAAJ&hl=en,m,postdoc,2006,,,,,,,,,,134,,,
Raf Aerts,http://scholar.google.com/citations?user=q1q96y4AAAAJ&hl=en,m,,2006,,,,208,,,,,,,,,
Rafael Bello-Bedoy,http://scholar.google.com/citations?user=QEABuToAAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,248,,,
Rafael Brito-Aguilar,http://scholar.google.com/citations?user=dkaKNZkAAAAJ&hl=en,m,student,0,,,296,725,,,,,,,,,
Rafael D. Loyola,http://scholar.google.com/citations?user=DUmcZ9gAAAAJ&hl=en,m,associate,2009,726,,,280,,,,,,,,,
Rafael Marquez,http://scholar.google.com/citations?user=Lw8_K8EAAAAJ&hl=en,m,,1990,,,,156,,,,,,,,,
Rafael Miranda,http://scholar.google.com/citations?user=Nc5x9bkAAAAJ&hl=en,m,,-999,,,,345,,,,,,,,,
Rafael Villar,http://scholar.google.com/citations?user=98lIInkAAAAJ&hl=en,m,associate,-999,264,,,,,,,,,,,,
Rafael Zenni,http://scholar.google.com/citations?user=zsptDjcAAAAJ&hl=en,m,student,0,1176,,,,,,,,,,,,
rafal zwolak,http://scholar.google.com/citations?user=3PA3j6kAAAAJ&hl=en,m,assistant,2008,,,,,,,,,82,,,,
Rahayu Sukmaria Sukri,http://scholar.google.com/citations?user=pRmY26gAAAAJ&hl=en,,,-999,,,281,,,,,,,,,,
Rainer W. Bussmann,http://scholar.google.com/citations?user=jvsdlkIAAAAJ&hl=en,m,,1994,,,58,,,,,,,,,,
Rajeev Raghavan,http://scholar.google.com/citations?user=59OFWwcAAAAJ&hl=en,m,,-999,,,,510,,,,,,,,,
"Raji Gnaneswaran, Ph.D.",http://scholar.google.com/citations?user=oIdZgDUAAAAJ&hl=en,,,-999,1663,,,,,,,,,,,,
Rajiv Kalsi,http://scholar.google.com/citations?user=9QnxJWIAAAAJ&hl=en,m,associate,1990,,,,609,,,,,,,,,
Rakesh soud,http://scholar.google.com/citations?user=yfO5OPkAAAAJ&hl=en,m,student,0,,,,743,,,,,,,,,
Ralf B Schafer,http://scholar.google.com/citations?user=b4mYJr0AAAAJ&hl=en,m,,2008,,,,,,,,,,,,84,
Ralph MacNally,http://scholar.google.com/citations?user=LC9zeH0AAAAJ&hl=en,m,,-999,,,,,,,,,,,,7,
Ram Rup Sarkar,http://scholar.google.com/citations?user=HkBVS3cAAAAJ&hl=en,m,,2004,780,,,,,,,,,,,,
ramakrishna nemani,http://scholar.google.com/citations?user=AZoQ20oAAAAJ&hl=en,m,,1987,24,,,,,,,,,,,,
Ran Nathan,http://scholar.google.com/citations?user=TpoqdmIAAAAJ&hl=en,m,full,2000,129,,,,,,,,,,,,
Randall Bernot,http://scholar.google.com/citations?user=KSN2XGkAAAAJ&hl=en,m,assistant,2003,575,,,,,,,,,,,,
Randall Irmis,http://scholar.google.com/citations?user=cXLwVo4AAAAJ&hl=en,m,,2008,,,,,,,,,,,,,33
Randall J. Mitchell,http://scholar.google.com/citations?user=Y4Sjd-IAAAAJ&hl=en,m,full,1991,,,,,,,,,,36,,,
Randi Rotjan,http://scholar.google.com/citations?user=kjjMY3IAAAAJ&hl=en,f,,2007,986,,,368,,,,,,,,,
Randy Thornhill,http://scholar.google.com/citations?user=U2nmaqEAAAAJ&hl=en,m,full,1974,22,,,,,2,,,,,,,
Raquel A. Garcia,http://scholar.google.com/citations?user=wWE0QR8AAAAJ&hl=en,f,student,0,,,,694,,,,,,,,,
Rashid Al-Yahyai,http://scholar.google.com/citations?user=Fi8iz7cAAAAJ&hl=en,m,,2004,1150,,,,,,,,,,,,
Rasmus Erjaes,http://scholar.google.com/citations?user=2N9qUJIAAAAJ&hl=en,m,,1998,,,73,,,,,,,,,,
Raul F. Medina,http://scholar.google.com/citations?user=Lb8v7sgAAAAJ&hl=en,m,assistant,2005,,,,,,,,,,213,,,
Raul Garcia-Camacho,http://scholar.google.com/citations?user=uh0O8qcAAAAJ&hl=en,m,,-999,,,,581,,,,,,,,,
Ray Hilborn,http://scholar.google.com/citations?user=7vpKH6IAAAAJ&hl=en,m,full,1974,,,,3,,,,,,,,,
Raymond A. Saumure,http://scholar.google.com/citations?user=l7xN1RgAAAAJ&hl=en,m,,2004,,,,417,,,,,58,,,,
RD Ramsey,http://scholar.google.com/citations?user=wPqz9vEAAAAJ&hl=en,m,full,1989,,,,,,,,,,,,57,
RE Gullison,http://scholar.google.com/citations?user=v28U3fEAAAAJ&hl=en,m,,1995,311,,,,,,,,,,,,
Rebecca [Studebaker] Garwood,http://scholar.google.com/citations?user=AHgk7MwAAAAJ&hl=en,f,,-999,1550,,,,,,,,,,,,
Rebecca C. Jordan,http://scholar.google.com/citations?user=Qm0XIBQAAAAJ&hl=en,f,assistant,2001,764,,,,,,,,,,,,
Rebecca Kimball,http://scholar.google.com/citations?user=zQPuErkAAAAJ&hl=en,f,associate,1995,,,,,,33,,,,,,,
Rebecca Kordas,http://scholar.google.com/citations?user=vJOYrwsAAAAJ&hl=en,f,student,0,,,159,,,,,,,,,,
Rebecca Mancy,http://scholar.google.com/citations?user=BL1tY-cAAAAJ&hl=en,f,,-999,,,,,,,,,,,,,
Rebecca Martone,http://scholar.google.com/citations?user=4YnhTDsAAAAJ&hl=en,f,postdoc,2009,,,199,,,,,,,,,,
Rebecca Safran,http://scholar.google.com/citations?user=SKRWv2IAAAAJ&hl=en,f,assistant,2005,,,,,,,,,,113,,,
Rebecca T Barnes,http://scholar.google.com/citations?user=PeA4HgUAAAAJ&hl=en,f,postdoc,2008,,,,,,,,71,,,,,
Regis Sabbadin,http://scholar.google.com/citations?user=saVN7-mB57IC&hl=en,m,,1998,,,,218,,,,,,,,,
Reid Tingley,http://scholar.google.com/citations?user=QgWS5lQAAAAJ&hl=en,m,student,0,,108,,,,,,,,,,,
Renato Augusto Ferreira de Lima,http://scholar.google.com/citations?user=sMQpRpMAAAAJ&hl=en,m,student,0,,,165,,,,,,,,,,
Renato Mendes Coutinho,http://scholar.google.com/citations?user=RkgQvSYAAAAJ&hl=en,m,student,0,,,,,,,,,,,82,,
Renaud Jaunatre,http://scholar.google.com/citations?user=y-2QE0AAAAAJ&hl=en,m,student,0,,,298,,,,,,,,,,
Reny Blue Tyson,http://scholar.google.com/citations?user=ftAM83oAAAAJ&hl=en,f,student,0,,,,,,180,,,,,,,
Reyno Aspiras,http://scholar.google.com/citations?user=-4AyJ5YAAAAJ&hl=en,m,,-999,1628,,,712,,,,,,,,,
Reza Mansouri,http://scholar.google.com/citations?user=6KgnbqgAAAAJ&hl=en,,,-999,,,,,,,,,,,,,
RHG Jongman,http://scholar.google.com/citations?user=cXlzrP0AAAAJ&hl=en,m,,-999,152,,,,,,,,,,,,
Rhiannon Pursall,http://scholar.google.com/citations?user=WGQtl3gAAAAJ&hl=en,,,2010,,,,,,,,,,231,,,
Rhondda Jones,http://scholar.google.com/citations?user=JYRMtxUAAAAJ&hl=en,f,emeritus,-999,412,,,,,,,,,,,,
Riaux-Gobin Catherine,http://scholar.google.com/citations?user=FW3U16QAAAAJ&hl=en,f,,-999,779,,,,,,,,,,,,
Ricard Sole,http://scholar.google.com/citations?user=BqIjjUAAAAAJ&hl=en,m,,1991,,,,,,,,,,6,,,
Ricardo Dobrovolski,http://scholar.google.com/citations?user=4TU-1fQAAAAJ&hl=en,m,student,0,,113,,551,,,,,,,,141,
Ricardo J. Colon-Rivera,http://scholar.google.com/citations?user=3Q-RsS8AAAAJ&hl=en,m,student,0,1652,,,,,,,,,,,,
Ricardo Pita,http://scholar.google.com/citations?user=oBTcle8AAAAJ&hl=en,m,student,0,1302,,,533,,,,,,,,,
Ricardo Rozzi,http://scholar.google.com/citations?user=b3y2fQUAAAAJ&hl=en,m,full,2001,417,,,150,,,,,,,,,
Ricardo S. Bovendorp,http://scholar.google.com/citations?user=3cfmXXgAAAAJ&hl=en,m,student,0,1279,,,528,,,,,,,,,
Ricardo S. Ramiro,http://scholar.google.com/citations?user=bZkDsqEAAAAJ&hl=en,m,student,0,,,,,,,,,,244,,,
Ricardo Sawaya,http://scholar.google.com/citations?user=zOvjS3EAAAAJ&hl=en,m,associate,2004,654,,,,,,,,,,,,
Ricardo Serrao Santos,http://scholar.google.com/citations?user=x-5yrq4AAAAJ&hl=en,m,,-999,,,,,,,13,,,,,,
Ricardo T. Bagarinao,http://scholar.google.com/citations?user=byVkDcMAAAAJ&hl=en,m,associate,-999,,,,,,,,,,,,176,
Ricardo Viani,http://scholar.google.com/citations?user=sD4xK-cAAAAJ&hl=en,m,postdoc,-999,1390,,,597,,,,,,,,,
Riccardo Bommarco,http://scholar.google.com/citations?user=L4-RcxYAAAAJ&hl=en,m,associate,-999,399,,,,,,,,,,,,
Riccardo Guarino,http://scholar.google.com/citations?user=Yio2X7kAAAAJ&hl=en,m,,-999,,,,428,,,,,,,,,
Richard B. Aronson,http://scholar.google.com/citations?user=mtzmFVcAAAAJ&hl=en,m,full,1985,172,,,,,,,,,,,,
Richard B. Thomas,http://scholar.google.com/citations?user=zW-Rc3kAAAAJ&hl=en,m,full,-999,173,,,,,,,,,,,,
Richard Benjamin Lanctot,http://scholar.google.com/citations?user=4UOZJTYAAAAJ&hl=en,m,,-999,,,,,,52,,,,,,,
Richard Brooks Chandler,http://scholar.google.com/citations?user=HdZX5qUAAAAJ&hl=en,m,,2011,,,,,,,,,59,,,,
Richard C Cobb,http://scholar.google.com/citations?user=3ZkeeJ8AAAAJ&hl=en,m,,2010,,,108,,,,,,,,,,
Richard Condit,http://scholar.google.com/citations?user=8dIJBkYAAAAJ&hl=en,m,,1984,38,,,,,,,,,,,,
Richard D. Stevens,http://scholar.google.com/citations?user=pCaesIEAAAAJ&hl=en,m,associate,2002,,23,43,,,,,,,,,,
Richard E. Gibbons,http://scholar.google.com/citations?user=KvpReR8AAAAJ&hl=en,m,student,0,,,,,,,,,,263,,,
Richard Erickson,http://scholar.google.com/citations?user=WOMgfVcAAAAJ&hl=en,m,student,0,1587,,,,,,,,,,,,
Richard Fox,http://scholar.google.com/citations?user=PG7gxJAAAAAJ&hl=en,m,,-999,238,,,,,,,,,,,,
Richard G Jefferson,http://scholar.google.com/citations?user=D14m1i4AAAAJ&hl=en,m,,-999,715,,,,,,,,,,,,
Richard Hofstetter,http://scholar.google.com/citations?user=IQi39lEAAAAJ&hl=en,m,associate,2003,716,,,,,,,,,,,,
Richard Inger,http://scholar.google.com/citations?user=3KN99sYAAAAJ&hl=en,m,postdoc,2006,665,,,,,,,,,,,,
Richard J Hobbs,http://scholar.google.com/citations?user=m7Z1yI0AAAAJ&hl=en,m,full,1981,9,,,4,,,,,,,,2,
Richard J. Ladle,http://scholar.google.com/citations?user=AcCy8GEAAAAJ&hl=en,m,,1993,422,,,,,,,,,,,,
Richard K. Bambach,http://scholar.google.com/citations?user=AOwgBhEAAAAJ&hl=en,m,emeritus,1969,,,,,,,,,,,,,7
Richard L Lindroth,http://scholar.google.com/citations?user=6aX0cFIAAAAJ&hl=en,m,,-999,,,,,,,,,,10,,,
Richard L. Brereton,http://scholar.google.com/citations?user=4bF0Wj8AAAAJ&hl=en,m,student,0,,,,,,,,103,,,,,
Richard Law,http://scholar.google.com/citations?user=ZMHzX5wAAAAJ&hl=en,m,full,1975,71,,,,,,,,,,,,
Richard McElreath,http://scholar.google.com/citations?user=nOl6EUIAAAAJ&hl=en,m,associate,2001,,,,,,,,,,18,,,
Richard Miano,http://scholar.google.com/citations?user=D3hOT1YAAAAJ&hl=en,m,,-999,,,,614,,,,,,,,,
Richard P Mann,http://scholar.google.com/citations?user=w_lm_toAAAAJ&hl=en,m,postdoc,2010,,,,,,,95,,,,,,
Richard Phillips,http://scholar.google.com/citations?user=jeONtb0AAAAJ&hl=en,m,,-999,240,,,,,,,,,,,,
